Planet,Dataset,eclipse_observed,b_occ_median,b_occ_16,b_occ_84,b_occ_std,b_occ_err_lower,b_occ_err_upper,k_rp_rs,one_minus_k,one_plus_k,acceptance_fraction
TOI-3268.01,TPC,,0.0006047437712754332,-0.04733979096095498,0.05013363090827349,0.05174460420497619,0.04794453473223041,0.04952888713699806,0.064265076,0.935734924,1.064265076,0.4948541666666667
TOI-3270.01,TPC,,0.0025198734744521396,-0.13002325973832604,0.1392491985311448,0.14153115356576174,0.1325431332127782,0.13672932505669266,0.153297097,0.846702903,1.153297097,0.4952708333333333
TOI-3271.01,TPC,,0.00024954926656224673,-0.05440151673530802,0.05792071611053448,0.059525688560979055,0.054651066001870266,0.057671166843972235,0.063796552,0.936203448,1.063796552,0.5001249999999999
TOI-3273.01,TPC,,-0.001682506427554496,-0.09861016456922293,0.09781404376938625,0.10252033040575774,0.09692765814166844,0.09949655019694074,0.143631473,0.856368527,1.1436314730000001,0.49663541666666666
TOI-3274.01,TPC,,-4.281182831555497e-05,-0.0605539520953317,0.059014875362360476,0.0634491525734074,0.06051114026701615,0.05905768719067603,0.10009995,0.8999000500000001,1.10009995,0.49751041666666673
TOI-3276.01,TPC,,0.004846778876133134,-0.14058506659361786,0.14773571066431268,0.15216231091255103,0.145431845469751,0.14288893178817955,0.131491445,0.868508555,1.131491445,0.49433333333333335
TOI-3277.01,TPC,,-0.0021609207662586587,-0.057583356110935076,0.05298257965253743,0.05792510495339968,0.05542243534467642,0.055143500418796086,0.153720526,0.846279474,1.153720526,0.49352083333333335
TOI-3279.01,TPC,,-0.00026420528357386263,-0.014082318632700914,0.013311812754939777,0.014266588258710416,0.013818113349127052,0.013576018038513639,0.043569036,0.956430964,1.043569036,0.4986770833333333
TOI-3281.01,TPC,,-0.0026385397969690026,-0.08833798713188619,0.08228484187893163,0.08900911198300797,0.08569944733491719,0.08492338167590063,0.053478968,0.946521032,1.053478968,0.4991770833333333
TOI-3283.01,TPC,,0.00445713056668357,-0.0639862004858241,0.07082040837352771,0.07014797621162863,0.06844333105250766,0.06636327780684415,0.115282262,0.884717738,1.115282262,0.4971875
TOI-3285.01,TPC,,-0.0022178838564095834,-0.04787617434726479,0.04665492064662073,0.04951870853889847,0.0456582904908552,0.04887280450303032,0.105830052,0.894169948,1.105830052,0.4954375
TOI-3289.01,TPC,,-0.0014314560750546019,-0.026641488833231173,0.02489829242878813,0.026678748117731042,0.02521003275817657,0.02632974850384273,0.068337398,0.9316626020000001,1.068337398,0.49553125000000003
TOI-3294.01,TPC,,-0.00021853373247891094,-0.05181767667623727,0.04917788618099866,0.05373186274473215,0.05159914294375836,0.04939641991347757,0.100249688,0.899750312,1.100249688,0.49440625000000005
TOI-3296.01,TPC,,0.0021218380239472734,-0.09483126120141949,0.09954884158576419,0.10169377778579568,0.09695309922536677,0.09742700356181691,0.101833197,0.898166803,1.101833197,0.49671875
TOI-3297.01,TPC,,-0.001801458377669562,-0.05553672818507599,0.05316646869518144,0.05801855444115344,0.05373526980740643,0.054967927072851,0.087521426,0.912478574,1.087521426,0.49824999999999997
TOI-3298.01,TPC,,-0.0001019442592325955,-0.05151297346895635,0.05291476369655647,0.054344298397702044,0.051411029209723756,0.05301670795578906,0.111534748,0.888465252,1.111534748,0.49440625
TOI-330.01,TPC,,0.0005214896661695329,-0.11046601020227315,0.11581435230327636,0.11949903027536919,0.11098749986844268,0.11529286263710682,0.130427297,0.869572703,1.130427297,0.4989583333333333
TOI-3302.01,TPC,,-0.0012179533634090055,-0.0315673262101644,0.027837777688920404,0.031555359916856845,0.030349372846755394,0.02905573105232941,0.064961527,0.935038473,1.064961527,0.4965625000000001
TOI-3303.01,TPC,,0.0005041801278817941,-0.07189109982662217,0.07281439791286601,0.07633581990760677,0.07239527995450397,0.07231021778498421,0.058566202,0.941433798,1.058566202,0.49623958333333335
TOI-3304.01,TPC,,0.0007782609622739214,-0.05571582511006067,0.05716167071807485,0.060197916630401097,0.056494086072334596,0.056383409755800924,0.089330846,0.910669154,1.089330846,0.4967708333333333
